n_id,disaster_name,occurence_date,damage_cost
1,tornado,2021-12-10,3.9
2,earthquake,2019-07-04,5.3
3,hurricane,2021-06-30,65.25
4,hurricane,2019-08-24,5.1
5,wildfire,2018-11-08,26.34
